index,Day,Daily Count,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Date
0,1,0,3,0,3,0,0,1-Mar
1,2,2,5,0,3,0,0,2-Mar
2,3,1,6,0,3,0,0,3-Mar
3,4,22,28,0,3,0,0,4-Mar
4,5,2,30,0,3,0,0,5-Mar
5,6,1,31,0,3,0,0,6-Mar
6,7,3,34,0,3,0,0,7-Mar
7,8,5,39,0,3,0,0,8-Mar
8,9,9,48,0,3,0,0,9-Mar
9,10,15,63,1,4,0,0,10-Mar
10,11,8,71,0,4,0,0,11-Mar
11,12,10,81,0,4,1,1,12-Mar
12,13,10,91,6,10,0,1,13-Mar
13,14,11,102,0,10,1,2,14-Mar
14,15,10,112,3,13,0,2,15-Mar
15,16,14,126,1,14,0,2,16-Mar
16,17,20,146,1,15,1,3,17-Mar
17,18,25,171,0,15,0,3,18-Mar
18,19,27,198,5,20,1,4,19-Mar
19,20,58,256,3,23,0,4,20-Mar
20,21,78,334,0,23,0,4,21-Mar
21,22,69,403,0,23,3,7,22-Mar
22,23,94,497,2,25,2,9,23-Mar
23,24,74,571,15,40,1,10,24-Mar
24,25,86,657,3,43,1,11,25-Mar
25,26,73,730,7,50,5,16,26-Mar
26,27,153,883,25,75,3,19,27-Mar
27,28,136,1019,10,85,5,24,28-Mar
28,29,120,1139,17,102,3,27,29-Mar
29,30,187,1326,35,137,14,41,30-Mar
30,31,309,1635,13,150,6,47,31-Mar
31,32,424,2059,19,169,6,53,1-Apr
32,33,486,2545,22,191,16,69,2-Apr
33,34,560,3105,39,230,14,83,3-Apr
34,35,579,3684,56,286,13,96,4-Apr
35,36,609,4293,43,329,22,118,5-Apr
36,37,484,4777,65,394,16,134,6-Apr
37,38,573,5350,75,469,27,161,7-Apr
38,39,565,5915,96,565,20,181,8-Apr
39,40,813,6728,70,635,46,227,9-Apr
40,41,871,7599,151,786,22,249,10-Apr
41,42,854,8453,186,972,41,290,11-Apr
42,43,758,9211,114,1086,42,332,12-Apr
43,44,1243,10454,112,1198,27,359,13-Apr
44,45,1031,11485,167,1365,37,396,14-Apr
45,46,886,12371,144,1509,27,423,15-Apr
46,47,1061,13432,258,1767,26,449,16-Apr
47,48,922,14354,273,2040,38,487,17-Apr
48,49,1371,15725,426,2466,35,522,18-Apr
49,50,1580,17305,388,2854,38,560,19-Apr
50,51,1239,18544,419,3273,33,593,20-Apr
51,52,1537,20081,703,3976,53,646,21-Apr
52,53,1292,21373,394,4370,36,682,22-Apr
53,54,1667,23040,642,5012,40,722,23-Apr
54,55,1408,24448,484,5496,59,781,24-Apr
55,56,1835,26283,442,5938,44,825,25-Apr
56,57,1607,27890,585,6523,56,881,26-Apr
57,58,1568,29458,580,7103,58,939,27-Apr
58,59,1902,31360,636,7739,69,1008,28-Apr
59,60,1705,33065,690,8429,71,1079,29-Apr
60,61,1801,34866,630,9059,75,1154,30-Apr
61,62,2396,37262,962,10021,77,1231,1-May
62,63,2564,39826,831,10852,92,1323,2-May
63,64,2952,42778,911,11763,140,1463,3-May
64,65,3656,46434,1082,12845,103,1566,4-May
65,66,2971,49405,1295,14140,128,1694,5-May
66,67,3602,53007,1161,15301,91,1785,6-May
67,68,3344,56351,1475,16776,104,1889,7-May
68,69,3339,59690,1111,17887,97,1986,8-May
69,70,3175,62865,1414,19301,115,2101,9-May
70,71,4311,67176,1669,20970,112,2213,10-May
71,72,3592,70768,1579,22549,81,2294,11-May
72,73,3562,74330,1905,24454,120,2414,12-May
73,74,3726,78056,1963,26417,137,2551,13-May
74,75,3991,82047,1594,28011,97,2648,14-May
75,76,3808,85855,2234,30245,104,2752,15-May
76,77,4794,90649,4012,34257,120,2872,16-May
77,78,5049,95698,2538,36795,152,3024,17-May
78,79,4628,100326,2482,39277,131,3155,18-May
79,80,6154,106480,3032,42309,146,3301,19-May
80,81,5720,112200,3113,45422,134,3435,20-May
81,82,6023,118223,3131,48553,148,3583,21-May
82,83,6536,124759,3280,51833,142,3725,22-May
83,84,6667,131424,2576,54409,142,3867,23-May
84,85,7111,138537,3285,57694,156,4023,24-May
85,86,6414,144951,3012,60706,150,4173,25-May
86,87,5907,150858,3585,64291,173,4346,26-May
87,88,7246,158104,3434,67725,188,4534,27-May
88,89,7254,165358,3171,70896,176,4710,28-May
89,90,8138,173496,11735,82631,269,4979,29-May
90,91,8364,181860,4303,86934,205,5184,30-May
91,92,8789,190649,4928,91862,222,5406,31-May
92,93,7723,198372,3882,95744,201,5607,1-Jun
93,94,8812,207187,4531,100275,222,5829,2-Jun
94,95,9689,216876,3789,104064,259,6088,3-Jun
95,96,9847,226723,4390,108454,274,6362,4-Jun
96,97,9472,236195,4770,113224,286,6648,5-Jun
97,98,10408,246603,5433,118657,297,6945,6-Jun
98,99,10882,257485,5191,123848,261,7206,7-Jun
99,100,8536,266021,5171,129019,271,7477,8-Jun
100,101,9981,276002,5634,134653,272,7749,9-Jun
101,102,11156,287158,6275,140928,358,8107,10-Jun
102,103,11135,298293,6044,146972,394,8501,11-Jun
103,104,11306,309599,7263,154235,388,8889,12-Jun
104,105,12039,321638,8092,162327,309,9198,13-Jun
105,106,11405,333043,7358,169685,324,9522,14-Jun
106,107,10032,343075,10639,180324,396,9918,15-Jun
107,108,11086,354161,7226,187550,2004,11922,16-Jun
108,109,13108,367269,6890,194440,341,12263,17-Jun
109,110,13829,381098,10741,205181,343,12606,18-Jun
110,111,14740,395838,9029,214210,364,12970,19-Jun
111,112,15918,411753,13974,228184,308,13278,20-Jun
112,113,15151,426904,9075,237259,426,13704,21-Jun
113,114,13560,440464,10879,248138,312,14016,22-Jun
114,115,15656,456120,10462,258600,468,14484,23-Jun
115,116,16868,472988,13089,271689,424,14908,24-Jun
116,117,18205,491193,13983,285672,401,15309,25-Jun
117,118,18255,509448,10246,295918,381,15690,26-Jun
118,119,20142,529590,14229,310147,414,16104,27-Jun
119,120,19610,549200,11631,321778,384,16488,28-Jun
120,121,18339,567539,13497,335275,417,16905,29-Jun
121,122,18256,585795,12565,347840,506,17411,30-Jun
122,123,19429,605224,12064,359904,438,17849,1-Jul
123,124,21947,627171,19999,379903,378,18227,2-Jul
124,125,22718,649889,14417,394320,444,18671,3-Jul
125,126,24018,673907,14746,409066,611,19282,4-Jul
126,127,23942,697849,15829,424895,421,19703,5-Jul
127,128,22500,720349,15315,440210,473,20176,6-Jul
128,129,23147,743496,16836,457046,479,20655,7-Jul
129,130,25561,769057,19508,476554,492,21147,8-Jul
130,131,25790,794847,19408,495962,479,21626,9-Jul
131,132,27762,822609,20289,516251,520,22146,10-Jul
132,133,27757,850366,19981,536232,543,22689,11-Jul
133,134,29106,879472,18198,554430,500,23189,12-Jul
134,135,28178,907650,17683,572113,541,23730,13-Jul
135,136,29917,937567,20977,593090,587,24317,14-Jul
136,137,32607,970174,20646,613736,614,24931,15-Jul
137,138,35468,1005642,22867,636603,680,25611,16-Jul
138,139,34820,1040462,17476,654079,676,26287,17-Jul
139,140,37411,1077873,23583,677662,543,26830,18-Jul
140,141,40235,1118108,22730,700392,675,27505,19-Jul
141,142,36806,1154914,24303,724695,596,28101,20-Jul
142,143,39170,1194084,27589,752284,671,28772,21-Jul
143,144,45601,1239685,31875,784159,1130,29902,22-Jul
144,145,48443,1288128,33326,817485,755,30657,23-Jul
145,146,48888,1337016,32514,849999,763,31420,24-Jul
146,147,50072,1387088,37125,887124,703,32123,25-Jul
147,148,48932,1436020,31512,918636,704,32827,26-Jul
148,149,46484,1482504,34354,952990,642,33469,27-Jul
149,150,49631,1532135,35683,988673,774,34243,28-Jul
150,151,52479,1584614,32886,1021559,775,35018,29-Jul
151,152,54968,1639582,37425,1058984,784,35802,30-Jul
152,153,57486,1697068,36554,1095538,764,36566,31-Jul
153,154,55117,1752185,51368,1146906,854,37420,1-Aug
154,155,52672,1804857,40355,1187261,760,38180,2-Aug
155,156,50488,1855345,43070,1230331,806,38986,3-Aug
156,157,51282,1906627,51220,1281551,849,39835,4-Aug
157,158,56626,1963253,45583,1327134,919,40754,5-Aug
158,159,62170,2025423,50141,1377275,899,41653,6-Aug
159,160,61455,2086878,50387,1427662,936,42589,7-Aug
160,161,65156,2152034,52135,1479797,875,43464,8-Aug
161,162,62117,2214151,54474,1534271,1013,44477,9-Aug
162,163,53016,2267167,47362,1581633,887,45364,10-Aug
163,164,61252,2328419,56461,1638094,835,46199,11-Aug
164,165,67066,2395485,57759,1695853,950,47149,12-Aug
165,166,64141,2459626,54776,1750629,1006,48155,13-Aug
166,167,65610,2525236,56920,1807549,989,49144,14-Aug
167,168,63986,2589222,53116,1860665,952,50096,15-Aug
168,169,58096,2647318,57404,1918069,952,51048,16-Aug
169,170,54298,2701616,58172,1976241,880,51928,17-Aug
170,171,65024,2766640,60455,2036696,1099,53027,18-Aug
171,172,69196,2835836,59365,2096061,979,54006,19-Aug
172,173,68518,2904354,61873,2157934,981,54987,20-Aug
173,174,69029,2973383,62858,2220792,953,55940,21-Aug
174,175,70067,3043450,59101,2279893,918,56858,22-Aug
175,176,61749,3105199,56896,2336789,846,57704,23-Aug
176,177,59696,3164895,66305,2403094,854,58558,24-Aug
177,178,66873,3231768,64151,2467245,1066,59624,25-Aug
178,179,75995,3307763,56191,2523436,1017,60641,26-Aug
179,180,76827,3384590,59620,2583056,1066,61707,27-Aug
180,181,76657,3461247,64475,2647531,1019,62726,28-Aug
181,182,78479,3539726,64982,2712513,943,63669,29-Aug
182,183,79461,3619187,60422,2772935,960,64629,30-Aug
183,184,68766,3687953,64435,2837370,816,65445,31-Aug
184,185,78168,3766121,62145,2899515,892,66337,1-Sep
185,186,82860,3848981,67874,2967389,913,67250,2-Sep
186,187,84156,3933137,67491,3034880,979,68229,3-Sep
187,188,87115,4020252,69625,3104505,950,69179,4-Sep
188,189,90600,4110852,73161,3177666,916,70095,5-Sep
189,190,91725,4202577,69630,3247296,1005,71100,6-Sep
190,191,75015,4277592,74116,3321412,1129,72229,7-Sep
191,192,89855,4367447,74608,3396020,1107,73336,8-Sep
192,193,95536,4462983,73062,3469082,1168,74504,9-Sep
193,194,96762,4559745,70904,3539986,1213,75717,10-Sep
194,195,97655,4657400,81456,3621442,1202,76919,11-Sep
195,196,94414,4751814,77862,3699304,1111,78030,12-Sep
196,197,93220,4845034,77748,3777052,1140,79170,13-Sep
197,198,81913,4926947,79213,3856265,1054,80224,14-Sep
198,199,91098,5018045,82849,3939114,1281,81505,15-Sep
199,200,97860,5115905,82924,4022038,1140,82645,16-Sep
200,201,96787,5212692,87788,4109826,1175,83820,17-Sep
201,202,92973,5305665,95515,4205341,1221,85041,18-Sep
202,203,92574,5398239,94389,4299730,1149,86190,19-Sep
203,204,87395,5485634,92926,4392656,1135,87325,20-Sep
204,205,74493,5560127,102070,4494726,1056,88381,21-Sep
205,206,83361,5643488,89653,4584379,1085,89466,22-Sep
206,207,86703,5730191,87458,4671837,1123,90589,23-Sep
