"index","Day","Daily.Count","Total.Confirmed","Daily.Recovered","Total.Recovered","Daily.Deceased","Total.Deceased","Date","Daily.Active","Daily.Deceased/Daily.Count","Daily.Deceased/Daily.Recovered","Daily.Deceased/Daily.Active"
0,1,0,3,0,3,0,0,"1-Mar",3,NA,0,0
1,2,2,5,0,3,0,0,"2-Mar",5,0,0,0
2,3,1,6,0,3,0,0,"3-Mar",6,0,0,0
3,4,22,28,0,3,0,0,"4-Mar",28,0,0,0
4,5,2,30,0,3,0,0,"5-Mar",30,0,0,0
5,6,1,31,0,3,0,0,"6-Mar",31,0,0,0
6,7,3,34,0,3,0,0,"7-Mar",34,0,0,0
7,8,5,39,0,3,0,0,"8-Mar",39,0,0,0
8,9,9,48,0,3,0,0,"9-Mar",48,0,0,0
9,10,15,63,1,4,0,0,"10-Mar",62,0,0,0
10,11,8,71,0,4,0,0,"11-Mar",71,0,0,0
11,12,10,81,0,4,1,1,"12-Mar",80,0.1,1,0.0125
12,13,10,91,6,10,0,1,"13-Mar",85,0,0,0
13,14,11,102,0,10,1,2,"14-Mar",101,0.0909090909090909,1,0.0099009900990099
14,15,10,112,3,13,0,2,"15-Mar",109,0,0,0
15,16,14,126,1,14,0,2,"16-Mar",125,0,0,0
16,17,20,146,1,15,1,3,"17-Mar",144,0.05,1,0.00694444444444444
17,18,25,171,0,15,0,3,"18-Mar",171,0,0,0
18,19,27,198,5,20,1,4,"19-Mar",192,0.037037037037037,0.2,0.00520833333333333
19,20,58,256,3,23,0,4,"20-Mar",253,0,0,0
20,21,78,334,0,23,0,4,"21-Mar",334,0,0,0
21,22,69,403,0,23,3,7,"22-Mar",400,0.0434782608695652,1,0.0075
22,23,94,497,2,25,2,9,"23-Mar",493,0.0212765957446809,1,0.00405679513184584
23,24,74,571,15,40,1,10,"24-Mar",555,0.0135135135135135,0.0666666666666667,0.0018018018018018
24,25,86,657,3,43,1,11,"25-Mar",653,0.0116279069767442,0.333333333333333,0.00153139356814701
25,26,73,730,7,50,5,16,"26-Mar",718,0.0684931506849315,0.714285714285714,0.00696378830083565
26,27,153,883,25,75,3,19,"27-Mar",855,0.0196078431372549,0.12,0.00350877192982456
27,28,136,1019,10,85,5,24,"28-Mar",1004,0.0367647058823529,0.5,0.0049800796812749
28,29,120,1139,17,102,3,27,"29-Mar",1119,0.025,0.176470588235294,0.00268096514745308
29,30,187,1326,35,137,14,41,"30-Mar",1277,0.0748663101604278,0.4,0.0109631949882537
30,31,309,1635,13,150,6,47,"31-Mar",1616,0.0194174757281553,0.461538461538462,0.00371287128712871
31,32,424,2059,19,169,6,53,"1-Apr",2034,0.0141509433962264,0.315789473684211,0.00294985250737463
32,33,486,2545,22,191,16,69,"2-Apr",2507,0.0329218106995885,0.727272727272727,0.00638213003589948
